S/N,Transaction ID,Transaction Type,Amount (NGN),Date,Status
1,ORD-459324544,Products,20000,,successful
2,ORD-602346187,Products,599994,,successful
3,ORD-637083641,Products,299970,,successful
4,ORD-637083641,Products,3000000,,successful
5,ORD-907097635,Products,299970,,successful
6,ORD-907097635,Products,299970,,successful
7,ORD-900669355,Products,3200000,,successful
8,ORD-900669355,Products,3200000,,successful
9,ORD-857748767,Products,20000,,successful
10,ORD-857748767,Products,20000,,successful
11,ORD-857748767,Products,3000000,,successful
12,ORD-857748767,Products,3000000,,successful
13,ORD-758415724,Products,299970,,successful
14,ORD-161828157,Products,1099910,,successful
15,ORD-161828157,Products,1099910,,successful
16,ORD-161828157,Products,899910,,successful
17,ORD-161828157,Products,899910,,successful
18,ORD-161828157,Products,899910,,successful
19,ORD-161828157,Products,899910,,successful
20,ORD-161828157,Products,899910,,successful
21,ORD-161828157,Products,899910,,successful
22,ORD-161828157,Products,899910,,successful
23,ORD-161828157,Products,899910,,successful
24,ORD-161828157,Products,399994,,successful
25,ORD-161828157,Products,399994,,successful
26,ORD-161828157,Products,3200000,,successful
27,ORD-161828157,Products,3200000,,successful
28,ORD-161828157,Products,599940,,successful
29,ORD-161828157,Products,599940,,successful
30,ORD-150018834,Products,128885,,successful
31,ORD-150018834,Products,10000,,successful
32,ORD-150018834,Products,112345,,successful
33,ORD-680162681,Products,20000,,successful
34,ORD-680162681,Products,20000,,successful
35,ORD-680162681,Products,890567,,successful
36,ORD-680162681,Products,360000,,successful
37,ORD-680162681,Products,360000,,successful
38,ORD-680162681,Products,50000,,successful
39,ORD-680162681,Products,50000,,successful
